x,y,z
1.01165, -0.681215, -0.969494
1.01226, -0.680867, -0.968297
1.01286, -0.68051, -0.967097
1.01345, -0.680144, -0.965894
1.01402, -0.679769, -0.964687
1.01459, -0.679385, -0.963477
1.01514, -0.678992, -0.962263
1.01569, -0.67859, -0.961046
1.01622, -0.678178, -0.959826
1.01674, -0.677758, -0.958603
1.01725, -0.677329, -0.957376
1.01775, -0.67689, -0.956147
1.01823, -0.676442, -0.954914
1.01871, -0.675986, -0.953678
1.01917, -0.67552, -0.95244
1.01963, -0.675045, -0.951198
1.02007, -0.674561, -0.949953
1.0205, -0.674068, -0.948706
1.02092, -0.673566, -0.947455
1.02132, -0.673055, -0.946202
1.02172, -0.672534, -0.944946
1.0221, -0.672005, -0.943688
1.02248, -0.671466, -0.942426
1.02284, -0.670919, -0.941162
1.02319, -0.670362, -0.939895
1.02352, -0.669796, -0.938626
1.02385, -0.669221, -0.937354
1.02417, -0.668637, -0.93608
1.02447, -0.668044, -0.934803
1.02476, -0.667441, -0.933524
1.02504, -0.66683, -0.932242
1.02531, -0.666209, -0.930959
1.02556, -0.66558, -0.929672
1.02581, -0.664941, -0.928384
1.02604, -0.664292, -0.927093
1.02626, -0.663635, -0.9258
1.02647, -0.662969, -0.924506
1.02667, -0.662293, -0.923209
1.02685, -0.661608, -0.921909
1.02703, -0.660914, -0.920608
1.02719, -0.660211, -0.919305
1.02734, -0.659499, -0.918001
1.02747, -0.658777, -0.916694
1.0276, -0.658046, -0.915385
1.02771, -0.657306, -0.914075
1.02781, -0.656557, -0.912763
1.0279, -0.655799, -0.911449
1.02798, -0.655031, -0.910134
1.02804, -0.654254, -0.908817
1.0281, -0.653468, -0.907498
1.02814, -0.652672, -0.906178
1.02817, -0.651868, -0.904857
1.02818, -0.651053, -0.903534
1.02819, -0.65023, -0.90221
1.02818, -0.649397, -0.900884
1.02816, -0.648556, -0.899557
1.02813, -0.647704, -0.898229
1.02808, -0.646844, -0.8969
1.02802, -0.645974, -0.89557
1.02795, -0.645094, -0.894238
1.02787, -0.644206, -0.892906
1.02778, -0.643308, -0.891573
1.02767, -0.642401, -0.890238
1.02755, -0.641484, -0.888903
1.02742, -0.640558, -0.887567
1.02727, -0.639622, -0.88623
1.02711, -0.638677, -0.884893
1.02694, -0.637723, -0.883555
1.02676, -0.636759, -0.882216
1.02656, -0.635786, -0.880877
1.02635, -0.634803, -0.879537
1.02613, -0.633811, -0.878197
1.0259, -0.632809, -0.876856
1.02565, -0.631798, -0.875515
1.02539, -0.630778, -0.874174
1.02512, -0.629747, -0.872832
1.02483, -0.628708, -0.871491
1.02454, -0.627659, -0.870149
1.02422, -0.6266, -0.868807
1.0239, -0.625532, -0.867465
1.02356, -0.624454, -0.866123
1.02321, -0.623366, -0.864782
1.02285, -0.622269, -0.86344
1.02247, -0.621163, -0.862099
1.02208, -0.620046, -0.860758
1.02168, -0.61892, -0.859418
1.02126, -0.617785, -0.858077
1.02083, -0.61664, -0.856738
1.02039, -0.615485, -0.855399
1.01993, -0.61432, -0.85406
1.01946, -0.613146, -0.852722
1.01898, -0.611962, -0.851385
1.01848, -0.610768, -0.850049
1.01797, -0.609565, -0.848713
1.01745, -0.608352, -0.847379
1.01691, -0.607129, -0.846045
1.01636, -0.605896, -0.844713
1.01579, -0.604653, -0.843381
1.01522, -0.603401, -0.842051
1.01462, -0.602139, -0.840723
1.01402, -0.600867, -0.839395
1.0134, -0.599585, -0.838069
1.01276, -0.598293, -0.836744
1.01212, -0.596992, -0.835421
1.01146, -0.59568, -0.8341
1.01078, -0.594359, -0.83278
1.01009, -0.593027, -0.831462
1.00939, -0.591686, -0.830146
1.00867, -0.590335, -0.828832
1.00794, -0.588973, -0.82752
1.0072, -0.587602, -0.82621
1.00644, -0.586221, -0.824902
1.00566, -0.58483, -0.823597
1.00488, -0.583428, -0.822293
1.00407, -0.582017, -0.820993
1.00326, -0.580596, -0.819694
1.00243, -0.579164, -0.818398
1.00158, -0.577722, -0.817105
1.00072, -0.576271, -0.815815
0.999849, -0.574809, -0.814527
0.99896, -0.573337, -0.813243
0.998057, -0.571855, -0.811961
0.997139, -0.570362, -0.810683
0.996207, -0.56886, -0.809408
0.99526, -0.567347, -0.808136
0.994298, -0.565824, -0.806867
0.993321, -0.56429, -0.805602
0.99233, -0.562747, -0.80434
0.991324, -0.561193, -0.803082
0.990303, -0.559629, -0.801828
0.989266, -0.558054, -0.800578
0.988215, -0.55647, -0.799331
0.987149, -0.554874, -0.798089
0.986068, -0.553269, -0.796851
0.984971, -0.551653, -0.795617
0.98386, -0.550027, -0.794387
0.982733, -0.54839, -0.793162
0.981591, -0.546743, -0.791942
0.980434, -0.545085, -0.790726
0.979261, -0.543417, -0.789515
0.978073, -0.541738, -0.788309
0.976869, -0.540049, -0.787108
0.97565, -0.53835, -0.785912
0.974416, -0.53664, -0.784721
0.973166, -0.534919, -0.783535
0.9719, -0.533188, -0.782356
0.970618, -0.531446, -0.781181
0.969321, -0.529694, -0.780013
0.968008, -0.527931, -0.77885
0.96668, -0.526157, -0.777693
0.965335, -0.524373, -0.776542
0.963974, -0.522578, -0.775398
0.962598, -0.520772, -0.77426
0.961205, -0.518956, -0.773128
0.959797, -0.517128, -0.772003
0.958372, -0.515291, -0.770885
0.956931, -0.513442, -0.769773
0.955474, -0.511583, -0.768669
0.954001, -0.509713, -0.767572
0.952512, -0.507832, -0.766482
0.951006, -0.50594, -0.765399
0.949484, -0.504038, -0.764324
0.947945, -0.502125, -0.763257
0.94639, -0.500201, -0.762197
0.944818, -0.498266, -0.761146
0.94323, -0.49632, -0.760103
0.941625, -0.494363, -0.759068
0.940003, -0.492396, -0.758042
0.938365, -0.490417, -0.757024
0.93671, -0.488428, -0.756015
0.935038, -0.486428, -0.755016
0.93335, -0.484417, -0.754025
0.931644, -0.482395, -0.753043
0.929922, -0.480362, -0.752072
0.928182, -0.478318, -0.751109
0.926425, -0.476263, -0.750157
0.924652, -0.474197, -0.749214
0.922861, -0.47212, -0.748282
0.921053, -0.470032, -0.74736
0.919228, -0.467933, -0.746449
0.917385, -0.465823, -0.745548
0.915525, -0.463702, -0.744659
0.913648, -0.46157, -0.74378
0.911753, -0.459427, -0.742913
0.909841, -0.457273, -0.742057
0.907912, -0.455109, -0.741213
0.905965, -0.452933, -0.740381
0.904, -0.450746, -0.739561
0.902018, -0.448548, -0.738754
0.900018, -0.446339, -0.737959
0.898, -0.444119, -0.737177
0.895965, -0.441888, -0.736407
0.893911, -0.439646, -0.735651
0.89184, -0.437393, -0.734909
0.889752, -0.435129, -0.73418
0.887645, -0.432854, -0.733464
0.88552, -0.430568, -0.732763
0.883377, -0.428271, -0.732077
0.881217, -0.425963, -0.731405
0.879038, -0.423644, -0.730748
0.876841, -0.421314, -0.730105
0.874626, -0.418973, -0.729479
0.872393, -0.416622, -0.728867
0.870142, -0.414259, -0.728272
0.867873, -0.411886, -0.727693
0.865585, -0.409502, -0.72713
0.863279, -0.407107, -0.726584
0.860955, -0.404701, -0.726055
0.858613, -0.402284, -0.725543
0.856252, -0.399857, -0.725048
0.853873, -0.397419, -0.724571
0.851476, -0.39497, -0.724112
0.84906, -0.392511, -0.723672
0.846626, -0.390041, -0.72325
